Dates,Sockeye,ChinookB,CohoB,Boats
9/10/2023,0,0,0,
9/11/2023,0,0,0,
9/12/2023,0,29,30,
9/13/2023,0,77,31,
9/14/2023,0,0,0,
9/15/2023,2,400,641,
9/16/2023,0,0,0,
9/17/2023,0,0,0,
9/18/2023,0,81,189,
9/19/2023,0,86,419,
9/20/2023,6,41,398,
9/21/2023,11,70,297,
9/22/2023,0,67,250,
9/25/2023,1,34,151,
9/26/2023,0,32,316,
9/27/2023,15,39,422,
9/28/2023,0,16,215,
9/29/2023,0,4,151,
9/30/2023,0,0,0,
10/1/2023,0,0,0,
10/2/2023,0,2,63,
10/3/2023,0,2,57,
10/4/2023,0,2,87,
10/5/2023,0,7,139,
10/6/2023,0,4,38,
10/7/2023,0,0,0,
10/8/2023,0,0,0,
10/9/2023,0,1,39,
10/10/2023,0,0,0,
10/11/2023,0,0,0,
