"","Day","Run1","Day.1","Run1.1"
"1",1,0,1,0
"2",2,0,2,0
"3",3,0,3,0
"4",4,0,4,0
"5",5,0,5,0
"6",6,0,6,0
"7",7,0,7,0
"8",8,0,8,0
"9",9,0,9,0
"10",10,0,10,0
"11",11,0,11,0
"12",12,0,12,0
"13",13,1,13,1
"14",14,1,14,1
"15",15,2,15,2
"16",16,4,16,4
"17",17,7,17,7
"18",18,10,18,10
"19",19,16,19,16
"20",20,23,20,24
"21",21,34,21,34
"22",22,48,22,48
"23",23,66,23,67
"24",24,91,24,91
"25",25,121,25,121
"26",26,156,26,156
"27",27,199,27,198
"28",28,251,28,250
"29",29,310,29,307
"30",30,377,30,375
"31",31,451,31,449
"32",32,530,32,530
"33",33,616,33,616
"34",34,704,34,705
"35",35,793,35,793
"36",36,879,36,880
"37",37,935,37,935
"38",38,990,38,990
"39",39,1039,39,1040
"40",40,1078,40,1080
"41",41,1103,41,1104
"42",42,1115,42,1114
"43",43,1110,43,1109
"44",44,1088,44,1089
"45",45,1050,45,1052
"46",46,999,46,1002
"47",47,939,47,939
"48",48,869,48,869
"49",49,790,49,790
"50",50,709,50,709
"51",51,625,51,626
"52",52,543,52,542
"53",53,483,53,482
"54",54,418,54,419
"55",55,354,55,354
"56",56,294,56,294
"57",57,239,57,240
"58",58,193,58,193
"59",59,151,59,153
"60",60,117,60,119
"61",61,90,61,90
"62",62,66,62,67
"63",63,49,63,50
"64",64,35,64,36
"65",65,25,65,25
"66",66,17,66,17
"67",67,11,67,12
"68",68,7,68,7
"69",69,5,69,5
"70",70,2,70,2
"71",71,1,71,1
"72",72,0,72,0
"73",73,0,73,0
"74",74,0,74,0
"75",75,0,75,0
"76",76,0,76,0
"77",77,0,77,0
"78",78,0,78,0
"79",79,0,79,0
"80",80,0,80,0
"81",81,0,81,0
"82",82,0,82,0
"83",83,0,83,0
"84",84,0,84,0
"85",85,0,85,0
"86",86,0,86,0
"87",87,0,87,0
"88",88,0,88,0
"89",89,0,89,0
"90",90,0,90,0
"91",91,0,91,0
"92",92,0,92,0
"93",93,0,93,0
"94",94,0,94,0
"95",95,0,95,0
"96",96,0,96,0
"97",97,0,97,0
"98",98,0,98,0
"99",99,0,99,0
"100",100,0,100,0
"101",101,0,101,0
"102",102,0,102,0
"103",103,0,103,0
"104",104,0,104,0
"105",NA,0,NA,0
