"","NA.","salmon_list[, ""Run1""]"
"1",NA,0
"2",NA,0
"3",NA,0
"4",NA,0
"5",NA,0
"6",NA,0
"7",NA,0
"8",NA,0
"9",NA,0
"10",NA,0
"11",NA,0
"12",NA,0
"13",NA,1
"14",NA,1
"15",NA,2
"16",NA,4
"17",NA,7
"18",NA,11
"19",NA,17
"20",NA,24
"21",NA,35
"22",NA,49
"23",NA,67
"24",NA,91
"25",NA,120
"26",NA,155
"27",NA,198
"28",NA,249
"29",NA,307
"30",NA,373
"31",NA,447
"32",NA,526
"33",NA,611
"34",NA,699
"35",NA,787
"36",NA,872
"37",NA,926
"38",NA,980
"39",NA,1030
"40",NA,1068
"41",NA,1094
"42",NA,1104
"43",NA,1099
"44",NA,1077
"45",NA,1041
"46",NA,991
"47",NA,929
"48",NA,858
"49",NA,780
"50",NA,699
"51",NA,618
"52",NA,537
"53",NA,476
"54",NA,412
"55",NA,349
"56",NA,290
"57",NA,237
"58",NA,191
"59",NA,151
"60",NA,117
"61",NA,89
"62",NA,67
"63",NA,50
"64",NA,36
"65",NA,26
"66",NA,18
"67",NA,12
"68",NA,8
"69",NA,5
"70",NA,2
"71",NA,1
"72",NA,0
"73",NA,0
"74",NA,0
"75",NA,0
"76",NA,0
"77",NA,0
"78",NA,0
"79",NA,0
"80",NA,0
"81",NA,0
"82",NA,0
"83",NA,0
"84",NA,0
"85",NA,0
"86",NA,0
"87",NA,0
"88",NA,0
"89",NA,0
"90",NA,0
"91",NA,0
"92",NA,0
"93",NA,0
"94",NA,0
"95",NA,0
"96",NA,0
"97",NA,0
"98",NA,0
"99",NA,0
"100",NA,0
"101",NA,0
"102",NA,0
"103",NA,0
"104",NA,0
"105",NA,0
