"","NA.","colSums(zc_forage_loc, na.rm = T)"
"1",NA,26
"2",NA,24
"3",NA,14
"4",NA,26
"5",NA,15
"6",NA,14
"7",NA,16
"8",NA,16
"9",NA,23
"10",NA,20
"11",NA,24
"12",NA,19
"13",NA,17
"14",NA,16
"15",NA,20
"16",NA,12
"17",NA,19
"18",NA,17
"19",NA,16
"20",NA,14
"21",NA,13
"22",NA,12
"23",NA,10
"24",NA,22
"25",NA,9
"26",NA,12
"27",NA,20
"28",NA,25
"29",NA,37
"30",NA,39
"31",NA,47
"32",NA,44
"33",NA,55
"34",NA,67
"35",NA,74
"36",NA,70
"37",NA,82
"38",NA,80
"39",NA,87
"40",NA,92
"41",NA,90
"42",NA,91
"43",NA,94
"44",NA,92
"45",NA,92
"46",NA,94
"47",NA,98
"48",NA,95
"49",NA,99
"50",NA,98
"51",NA,100
"52",NA,99
"53",NA,99
"54",NA,98
"55",NA,100
"56",NA,100
"57",NA,100
"58",NA,100
"59",NA,100
"60",NA,100
"61",NA,69
"62",NA,54
"63",NA,44
"64",NA,33
"65",NA,33
"66",NA,31
"67",NA,23
"68",NA,31
"69",NA,13
"70",NA,27
"71",NA,17
"72",NA,23
"73",NA,15
"74",NA,13
"75",NA,14
"76",NA,26
"77",NA,16
"78",NA,21
"79",NA,16
"80",NA,30
"81",NA,15
"82",NA,11
"83",NA,21
"84",NA,19
"85",NA,18
"86",NA,17
"87",NA,11
"88",NA,20
"89",NA,17
"90",NA,15
"91",NA,19
"92",NA,22
"93",NA,16
"94",NA,11
"95",NA,12
"96",NA,12
"97",NA,16
"98",NA,18
"99",NA,18
"100",NA,16
"101",NA,20
"102",NA,11
"103",NA,15
"104",NA,12
"105",NA,0
