"","NA.","salmon_list[, ""Run1""]","salmon_list[, ""Run1""]"
"1",NA,0,0
"2",NA,0,0
"3",NA,0,0
"4",NA,0,0
"5",NA,0,0
"6",NA,0,0
"7",NA,0,0
"8",NA,0,0
"9",NA,0,0
"10",NA,0,0
"11",NA,0,0
"12",NA,0,0
"13",NA,1,1
"14",NA,1,1
"15",NA,2,2
"16",NA,4,4
"17",NA,7,7
"18",NA,10,11
"19",NA,16,16
"20",NA,24,23
"21",NA,34,33
"22",NA,47,47
"23",NA,65,65
"24",NA,88,88
"25",NA,116,116
"26",NA,149,149
"27",NA,191,190
"28",NA,241,240
"29",NA,297,296
"30",NA,361,361
"31",NA,433,432
"32",NA,512,510
"33",NA,594,594
"34",NA,678,679
"35",NA,764,764
"36",NA,849,848
"37",NA,902,903
"38",NA,955,954
"39",NA,1003,1001
"40",NA,1038,1040
"41",NA,1064,1065
"42",NA,1073,1073
"43",NA,1066,1067
"44",NA,1042,1046
"45",NA,1003,1007
"46",NA,953,955
"47",NA,889,892
"48",NA,820,821
"49",NA,742,745
"50",NA,661,663
"51",NA,579,582
"52",NA,500,503
"53",NA,440,443
"54",NA,378,380
"55",NA,316,317
"56",NA,259,260
"57",NA,209,209
"58",NA,166,166
"59",NA,129,129
"60",NA,98,99
"61",NA,73,74
"62",NA,54,54
"63",NA,40,40
"64",NA,28,28
"65",NA,20,20
"66",NA,13,13
"67",NA,8,8
"68",NA,5,5
"69",NA,3,3
"70",NA,1,1
"71",NA,0,0
"72",NA,0,0
"73",NA,0,0
"74",NA,0,0
"75",NA,0,0
"76",NA,0,0
"77",NA,0,0
"78",NA,0,0
"79",NA,0,0
"80",NA,0,0
"81",NA,0,0
"82",NA,0,0
"83",NA,0,0
"84",NA,0,0
"85",NA,0,0
"86",NA,0,0
"87",NA,0,0
"88",NA,0,0
"89",NA,0,0
"90",NA,0,0
"91",NA,0,0
"92",NA,0,0
"93",NA,0,0
"94",NA,0,0
"95",NA,0,0
"96",NA,0,0
"97",NA,0,0
"98",NA,0,0
"99",NA,0,0
"100",NA,0,0
"101",NA,0,0
"102",NA,0,0
"103",NA,0,0
"104",NA,0,0
"105",NA,0,0
