"","NA.","colSums(seal_forage_loc, na.rm = T)","colSums(seal_forage_loc, na.rm = T)"
"1",NA,2,4
"2",NA,6,5
"3",NA,1,4
"4",NA,5,2
"5",NA,2,4
"6",NA,4,4
"7",NA,4,1
"8",NA,6,5
"9",NA,1,6
"10",NA,1,3
"11",NA,5,2
"12",NA,5,4
"13",NA,4,5
"14",NA,2,3
"15",NA,5,2
"16",NA,2,5
"17",NA,2,0
"18",NA,5,5
"19",NA,1,3
"20",NA,2,2
"21",NA,4,2
"22",NA,6,4
"23",NA,6,5
"24",NA,7,8
"25",NA,12,12
"26",NA,10,13
"27",NA,9,14
"28",NA,15,16
"29",NA,17,15
"30",NA,19,21
"31",NA,17,21
"32",NA,24,19
"33",NA,29,26
"34",NA,26,29
"35",NA,24,27
"36",NA,30,27
"37",NA,31,37
"38",NA,32,38
"39",NA,40,33
"40",NA,35,35
"41",NA,37,41
"42",NA,41,39
"43",NA,45,35
"44",NA,49,43
"45",NA,46,46
"46",NA,52,47
"47",NA,43,46
"48",NA,52,42
"49",NA,52,49
"50",NA,58,50
"51",NA,56,48
"52",NA,55,46
"53",NA,51,44
"54",NA,59,53
"55",NA,61,51
"56",NA,58,64
"57",NA,68,58
"58",NA,62,57
"59",NA,64,58
"60",NA,64,61
"61",NA,67,65
"62",NA,63,63
"63",NA,66,65
"64",NA,78,57
"65",NA,64,62
"66",NA,75,68
"67",NA,55,48
"68",NA,41,44
"69",NA,44,34
"70",NA,39,28
"71",NA,29,37
"72",NA,25,27
"73",NA,22,31
"74",NA,19,20
"75",NA,13,18
"76",NA,13,13
"77",NA,17,9
"78",NA,15,13
"79",NA,12,8
"80",NA,14,10
"81",NA,10,11
"82",NA,9,9
"83",NA,11,8
"84",NA,11,11
"85",NA,5,5
"86",NA,5,12
"87",NA,6,1
"88",NA,4,9
"89",NA,6,5
"90",NA,4,3
"91",NA,3,4
"92",NA,8,5
"93",NA,4,7
"94",NA,3,2
"95",NA,13,4
"96",NA,6,3
"97",NA,2,4
"98",NA,7,4
"99",NA,3,6
"100",NA,3,3
"101",NA,7,7
"102",NA,3,2
"103",NA,4,4
"104",NA,10,9
"105",NA,0,0
