"","Day","Run1"
"1",50,0
"2",51,0
"3",52,0
"4",53,0
"5",54,0
"6",55,0
"7",56,0
"8",57,0
"9",58,0
"10",59,0
"11",60,0
"12",61,0
"13",62,1
"14",63,1
"15",64,2
"16",65,3
"17",66,5
"18",67,7
"19",68,11
"20",69,15
"21",70,21
"22",71,29
"23",72,39
"24",73,52
"25",74,67
"26",75,85
"27",76,107
"28",77,133
"29",78,161
"30",79,193
"31",80,228
"32",81,264
"33",82,302
"34",83,340
"35",84,376
"36",85,410
"37",86,440
"38",87,464
"39",88,483
"40",89,494
"41",90,498
"42",91,494
"43",92,483
"44",93,464
"45",94,440
"46",95,410
"47",96,376
"48",97,340
"49",98,302
"50",99,264
"51",100,228
"52",101,193
"53",102,161
"54",103,133
"55",104,107
"56",105,85
"57",106,67
"58",107,52
"59",108,39
"60",109,29
"61",110,21
"62",111,15
"63",112,11
"64",113,7
"65",114,5
"66",115,3
"67",116,2
"68",117,1
"69",118,1
"70",119,0
"71",120,0
"72",121,0
"73",122,0
"74",123,0
"75",124,0
"76",125,0
"77",126,0
"78",127,0
"79",128,0
"80",129,0
"81",130,0
"82",131,0
"83",132,0
"84",133,0
"85",134,0
"86",135,0
"87",136,0
"88",137,0
"89",138,0
"90",139,0
"91",140,0
"92",141,0
"93",142,0
"94",143,0
"95",144,0
"96",145,0
"97",146,0
"98",147,0
"99",148,0
"100",149,0
"101",150,0
"102",151,0
"103",152,0
"104",153,0
"105",154,0
